no.,score_total,score_average,id,response,score
1,0.670583490793573,0.670583490793573,27642,1,0.670583490793573
2,1.297432744234982,0.648716372117491,29177,0,0.626849253441409
3,1.873324701507002,0.6244415671690007,18380,1,0.57589195727202
4,2.437215823031873,0.6093039557579683,24071,1,0.563891121524871
5,2.982099484135012,0.5964198968270024,21645,1,0.544883661103139
6,3.5150193398374947,0.5858365566395825,19511,0,0.532919855702483
7,4.040065634971303,0.577152233567329,23244,0,0.525046295133809
8,4.565111930105112,0.570638991263139,18229,0,0.525046295133809
9,5.089414423870161,0.565490491541129,16759,0,0.524302493765049
10,5.608693881586559,0.560869388158656,24724,0,0.519279457716398
11,6.127793718323561,0.5570721562112328,19906,1,0.519099836737002
12,6.643221543364583,0.5536017952803819,23826,0,0.515427825041022
13,7.157607643395638,0.550585203338126,23241,0,0.514386100031055
14,7.668319664672994,0.5477371189052139,26833,0,0.510712021277357
15,8.179031685950351,0.5452687790633567,23946,1,0.510712021277357
16,8.689743707227708,0.5431089817017317,23632,1,0.510712021277357
17,9.200455728505064,0.5412032781473567,23233,0,0.510712021277357
18,9.71116774978242,0.5395093194323567,22400,0,0.510712021277357
19,10.221879771059777,0.5379936721610409,21635,0,0.510712021277357
20,10.732591792337134,0.5366295896168567,20366,1,0.510712021277357
21,11.240838632837985,0.5352780301351421,25247,1,0.50824684050085
22,11.749085473338834,0.5340493396972197,18594,1,0.50824684050085
23,12.256677269926604,0.5328990117359392,23129,1,0.507591796587769
24,12.763517441536932,0.5318132267307055,23353,1,0.506840171610328
25,13.269198344978745,0.5307679337991498,27775,0,0.505680903441814
26,13.774416502909249,0.5297852501118941,18965,1,0.505218157930503
27,14.278987552840066,0.5288513908459284,19211,1,0.504571049930817
28,14.782761026219394,0.5279557509364069,19129,0,0.503773473379327
29,15.285949255732492,0.5271016984735342,20510,1,0.503188229513098
30,15.787666099191437,0.5262555366397146,17084,0,0.501716843458946
31,16.288636437091192,0.5254398850674578,24720,0,0.500970337899756
32,16.787712302187177,0.5246160094433493,27849,0,0.499075865095985
33,17.286788167283163,0.5238420656752474,24988,1,0.499075865095985
34,17.78586403237915,0.5231136480111515,23564,0,0.499075865095985
35,18.278005726213593,0.522228735034674,20670,0,0.492141693834444
